comment,label
"So cringe, get a life.",Hate/Abuse
Would love to see a part 2!,Question/Suggestion
"You're improving a lot, keep going.",Support
This healed a part of me.,Emotional
You’re crossing the line.,Threat
Never stop creating!,Support
Get 10k followers today!,Irrelevant/Spam
Subscribe to my channel now!,Irrelevant/Spam
Felt every second of this.,Emotional
Felt every second of this.,Emotional
Don’t miss this crypto tip!,Irrelevant/Spam
Suggestion: add captions for clarity.,Question/Suggestion
"Take your time, we’ll wait!",Support
Beautiful design!,Praise
We believe in you!,Support
I’ll report this if I see it again.,Threat
You guys rock!,Praise
Don’t miss this crypto tip!,Irrelevant/Spam
Timing felt a bit off.,Constructive Criticism
Would be better with background music.,Constructive Criticism
You guys rock!,Praise
"I’m in tears, this touched me deeply.",Emotional
Prepare for backlash.,Threat
Never stop creating!,Support
Sound mix could be cleaner.,Constructive Criticism
Buy cheap followers at xyz.com,Irrelevant/Spam
I’m blocking and reporting you.,Threat
We believe in you!,Support
Can you make a video on meditation?,Question/Suggestion
Can't believe I wasted my time.,Hate/Abuse
Could you do a behind-the-scenes?,Question/Suggestion
"Next time, I’m emailing the platform.",Threat
You're terrible at this.,Hate/Abuse
Can you explain the concept more?,Question/Suggestion
Prepare for backlash.,Threat
DM me for collab!,Irrelevant/Spam
"You're improving a lot, keep going.",Support
I’ll hack your account if you don’t stop.,Threat
I’ll hack your account if you don’t stop.,Threat
Just quit already.,Hate/Abuse
I’ll hack your account if you don’t stop.,Threat
"No skill, no effort.",Hate/Abuse
You’ll regret uploading this.,Threat
"I’m in tears, this touched me deeply.",Emotional
Beautiful design!,Praise
"No skill, no effort.",Hate/Abuse
Visuals are fantastic!,Praise
Never stop creating!,Support
Brought tears to my eyes.,Emotional
Some parts felt repetitive.,Constructive Criticism
"Keep pushing, you'll get better!",Support
Top-notch work!,Praise
Can you make a video on meditation?,Question/Suggestion
Prepare for backlash.,Threat
Keep up the good work!,Support
That blew my mind!,Praise
What tools did you use for this?,Question/Suggestion
I’ll report this if I see it again.,Threat
You guys rock!,Praise
Spammy content alert!,Irrelevant/Spam
Can you explain the concept more?,Question/Suggestion
Prepare for backlash.,Threat
Such a warm feeling watching this.,Emotional
Total garbage.,Hate/Abuse
Great attention to detail!,Praise
Just quit already.,Hate/Abuse
Color grading needs a bit of work.,Constructive Criticism
Click my bio to get rich!,Irrelevant/Spam
Check my latest post for secrets!,Irrelevant/Spam
Could use a better voiceover.,Constructive Criticism
This sucks so much.,Hate/Abuse
Top-notch work!,Praise
You guys rock!,Praise
Absolutely brilliant!,Praise
This better be your last post like this.,Threat
Top-notch work!,Praise
This better be your last post like this.,Threat
Would love to see a part 2!,Question/Suggestion
This reminded me of my childhood days.,Emotional
"Keep pushing, you'll get better!",Support
What tools did you use for this?,Question/Suggestion
Total garbage.,Hate/Abuse
Consider shortening the intro.,Constructive Criticism
Incredible emotional depth.,Emotional
I’ll hack your account if you don’t stop.,Threat
Suggestion: add captions for clarity.,Question/Suggestion
Keep up the good work!,Support
Can you cover topic Y next?,Question/Suggestion
Completely talentless.,Hate/Abuse
"You're improving a lot, keep going.",Support
This healed a part of me.,Emotional
Click my bio to get rich!,Irrelevant/Spam
Subscribe to my channel now!,Irrelevant/Spam
I’ll hack your account if you don’t stop.,Threat
This is trash content.,Hate/Abuse
Visit xyz.biz for surprise!,Irrelevant/Spam
DM me for collab!,Irrelevant/Spam
Earn money fast now!,Irrelevant/Spam
I’ll report this if I see it again.,Threat
"Take your time, we’ll wait!",Support
This is just the beginning!,Support
Can you make a video on meditation?,Question/Suggestion
Prepare for backlash.,Threat
Shut this down!,Hate/Abuse
Maybe try using less text next time.,Constructive Criticism
"You're improving a lot, keep going.",Support
Please stop making videos.,Hate/Abuse
So many memories flooding back!,Emotional
Can you make a video on meditation?,Question/Suggestion
Such a warm feeling watching this.,Emotional
That blew my mind!,Praise
Don’t miss this crypto tip!,Irrelevant/Spam
"Amazing animation, I loved it!",Praise
Great attention to detail!,Praise
Don’t miss this crypto tip!,Irrelevant/Spam
This reminded me of my childhood days.,Emotional
This is next-level!,Praise
Check my latest post for secrets!,Irrelevant/Spam
Great attention to detail!,Praise
Color grading needs a bit of work.,Constructive Criticism
Color grading needs a bit of work.,Constructive Criticism
Sound mix could be cleaner.,Constructive Criticism
"Superb effort, well done!",Praise
Shut this down!,Hate/Abuse
Audio was not great but loved the visuals.,Constructive Criticism
Visuals are fantastic!,Praise
Brought tears to my eyes.,Emotional
This healed a part of me.,Emotional
Really impressed!,Praise
Consider shortening the intro.,Constructive Criticism
Sound mix could be cleaner.,Constructive Criticism
Completely talentless.,Hate/Abuse
Go for it!,Support
I’ll hack your account if you don’t stop.,Threat
Don’t miss this crypto tip!,Irrelevant/Spam
"Too much going on, simplify it.",Constructive Criticism
Can you do this for mobile users too?,Question/Suggestion
Total garbage.,Hate/Abuse
"Win free iPhones, just follow!",Irrelevant/Spam
Could you do a behind-the-scenes?,Question/Suggestion
Color grading needs a bit of work.,Constructive Criticism
So many memories flooding back!,Emotional
Can you do this for mobile users too?,Question/Suggestion
Just quit already.,Hate/Abuse
Click my bio to get rich!,Irrelevant/Spam
Beautiful design!,Praise
"Amazing animation, I loved it!",Praise
"Superb effort, well done!",Praise
What tools did you use for this?,Question/Suggestion
Keep up the good work!,Support
"The idea is good, but execution needs improvement.",Constructive Criticism
That blew my mind!,Praise
Promo codes available at my site!,Irrelevant/Spam
"You're improving a lot, keep going.",Support
What tools did you use for this?,Question/Suggestion
You're terrible at this.,Hate/Abuse
Follow me for more followers!,Irrelevant/Spam
"No skill, no effort.",Hate/Abuse
This reminded me of my childhood days.,Emotional
Will you do a tutorial on this?,Question/Suggestion
"So cringe, get a life.",Hate/Abuse
Will you do a tutorial on this?,Question/Suggestion
Top-notch work!,Praise
Have you thought of animating X?,Question/Suggestion
Go for it!,Support
"You're improving a lot, keep going.",Support
Who even asked for this?,Hate/Abuse
Maybe try using less text next time.,Constructive Criticism
Could use a better voiceover.,Constructive Criticism
So creative!,Praise
Try smoother transitions.,Constructive Criticism
Such a warm feeling watching this.,Emotional
"Next time, I’m emailing the platform.",Threat
"Win free iPhones, just follow!",Irrelevant/Spam
Audio was not great but loved the visuals.,Constructive Criticism
This made me smile after a rough day.,Emotional
You're terrible at this.,Hate/Abuse
Please stop making videos.,Hate/Abuse
I’ll hack your account if you don’t stop.,Threat
Stop or there will be consequences.,Threat
Absolutely brilliant!,Praise
Audio was not great but loved the visuals.,Constructive Criticism
Audio was not great but loved the visuals.,Constructive Criticism
Total garbage.,Hate/Abuse
